,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.0,"Logo header
ロゴ","ヘッダー部分に表示するシステムロゴ
 Logo hiển thị ở header",画像,-,"
画面初期表示時にロゴを表示。クリック時ホーム画面へ遷移。画像取得失敗時は代替画像表示。                                                            Khi load màn hình hiển thị logo, click về Home, lỗi ảnh → ảnh default
",-,,,,,,
,,,,,,,,,,,,,,,,,2.0,"ダッシュボード
Dashboard","ダッシュボード画面へ遷移するためのボタン
Nút chuyển tới màn hình dashboard",ボタン,-,"押下時ダッシュボード画面へ遷移する 未保存データがある場合確認を行う
Khi nhấn chuyển tới màn hình dashboard Nếu có dữ liệu chưa lưu thì hiển thị xác nhận","備考
ヘッダーに常時表示 ログインユーザーのみ利用可能
Luôn hiển thị trên header Chỉ dùng khi đã đăng nhập",,,,,,
,,,,,,,,,,,,,,,,,3.0,"店舗編集ボタン
Nút sửa quán","舗情報編集画面へ遷移するボタン
Nút chuyển tới màn chỉnh sửa thông tin nhà hàng",ボタン,-,"押下時店舗編集画面へ遷移する
ログインユーザーが対象店舗の管理者である場合のみ遷移可能とする
権限がない場合はエラーメッセージを表示する
Nhấn để chuyển tới màn chỉnh sửa nhà hàng
Chỉ cho phép nếu user là quản lý của quán
Nếu không có quyền thì hiển thị lỗi",-,,,,,,
,,,,,,,,,,,,,,,,,4.0,"キャンペーン
Khuyến mãi","キャンペーン一覧画面へ遷移するボタン
Nút chuyển tới màn danh sách khuyến mãi",ボタン,-,"押下時キャンペーン一覧画面へ遷移する 未保存データがある場合確認を行う
Khi nhấn chuyển tới màn danh sách khuyến mãi Nếu có dữ liệu chưa lưu thì hiển thị xác nhận",-,,,,,,
,,,,,,,,,,,,,,,,,5.0,"ログアウト
Đăng xuất","ログアウト処理を行うボタン
Nút thực hiện đăng xuất",ボタン,-,"処理内容
押下時セッションを削除しログイン画面へ遷移する
Khi nhấn xóa session và chuyển về màn hình đăng nhập",-,,,,,,
,,,,,,,,,,,,,,,,,6.0,"キャンペーン作成
Tạo khuyến mãi","画面タイトルを表示する
Hiển thị tiêu đề màn hình",テキスト,-,"画面表示時にタイトルを表示する
Khi load màn hình thì hiển thị tiêu đề",-,,,,,,
,,,,,,,,,,,,,,,,,7.0,"キャンペーンタイプ
Loại khuyến mãi","キャンペーンの種類を選択する
Chọn loại khuyến mãi",ボタン,"割引 クーポン
 Mã giảm giá","選択時に入力項目を切り替える
Khi chọn sẽ thay đổi các trường nhập bên dưới
備考",-,,,,,,
,,,,,,,,,,,,,,,,,8.0,"キャンペーン名 日本語
Tên khuyến mãi tiếng Nhật","キャンペーン名を日本語で入力する
Nhập tên khuyến mãi bằng tiếng Nhật",入力,"文字列
Chuỗi ký tự","入力値を保存し未入力時エラー表示
Lưu giá trị nhập nếu để trống thì báo lỗi","必須項目
Trường bắt buộc",,,,,,
,,,,,,,,,,,,,,,,,9.0,"キャンペーン名 ベトナム語
Tên khuyến mãi tiếng Việt","キャンペーン名をベトナム語で入力する
Nhập tên khuyến mãi bằng tiếng Việt",入力,"文字列
Chuỗi ký tự","入力値を保存し未入力時エラー表示
Lưu giá trị nhập nếu để trống thì báo lỗi","必須項目
Trường bắt buộc",,,,,,
,,,,,,,,,,,,,,,,,10.0,"説明 日本語
Mô tả tiếng Nhật","説明 日本語
Mô tả tiếng Nhật",入力,"文字列
Chuỗi nhiều dòng","複数行入力を保存する
Lưu nội dung nhiều dòng","文字数制限あり
Có giới hạn ký tự",,,,,,
,,,,,,,,,,,,,,,,,11.0,"説明 ベトナム語
Mô tả tiếng Việt","説明文をベトナム語で入力する
Nhập mô tả bằng tiếng Việt",入力,"文字列
Chuỗi nhiều dòng","複数行入力を保存する
Lưu nội dung nhiều dòng","文字数制限あり
Có giới hạn ký tự",,,,,,
,,,,,,,,,,,,,,,,,12.0,"割引タイプ
Loại giảm giá","割引方法を選択する
Chọn cách giảm giá",ドロップダウン,"パーセント 金額
Phần trăm Số tiền","選択値により計算方法を変更する
Thay đổi cách tính theo lựa chọn","初期値パーセント
Mặc định là phần trăm",,,,,,
,,,,,,,,,,,,,,,,,13.0,"割引値
Giá trị giảm","割引値を入力する
Nhập giá trị giảm",入力,"数値入力
Input số","入力値チェックを行い不正時エラー表示
Kiểm tra giá trị nhập nếu sai thì báo lỗi","必須項目
Trường bắt buộc",,,,,,
,,,,,,,,,,,,,,,,,14.0,"開始日
Ngày bắt đầu","開始日を選択する
Chọn ngày bắt đầu",DatePicker,"・デフォルト：指定された期間
・入力値：入居希望日付け（yyyy/M/d）~退去予定日付（yyyy/M/d）
・Mặc định: Khoảng thời gian đã chỉ định
・Giá trị nhập: Ngày check-in mong muốn (yyyy/M/d) ~ Ngày check-out dự kiến (yyyy/M/d)","クリック時、カレンダーを表示し、期間の再設定を可能にする。
Khi nhấp vào, sẽ hiển thị lịch và cho phép thiết lập lại khoảng thời gian.","終了日より前であること
Phải trước ngày kết thúc",,,,,,
,,,,,,,,,,,,,,,,,15.0,"終了日
Ngày kết thúc","終了日を選択する
Chọn ngày kết thúc",DatePicker,"・デフォルト：指定された期間
・入力値：入居希望日付け（yyyy/M/d）~退去予定日付（yyyy/M/d）
・Mặc định: Khoảng thời gian đã chỉ định
・Giá trị nhập: Ngày check-in mong muốn (yyyy/M/d) ~ Ngày check-out dự kiến (yyyy/M/d)","クリック時、カレンダーを表示し、期間の再設定を可能にする。
Khi nhấp vào, sẽ hiển thị lịch và cho phép thiết lập lại khoảng thời gian.","必須項目
Trường bắt buộc",,,,,,
,,,,,,,,,,,,,,,,,16.0,"利用回数制限
Số lần sử dụng","利用可能回数を入力する
Nhập số lần sử dụng",入力,"数値
Số","未入力時は無制限として扱う
Nếu không nhập thì coi là không giới hạn","整数のみ
Chỉ cho phép số nguyên",,,,,,
,,,,,,,,,,,,,,,,,17.0,"キャンセル
Hủy","入力内容を破棄する
Hủy dữ liệu nhập",ボタン,"前画面へ戻る 未保存時確認表示
Quay lại màn trước Nếu chưa lưu thì hỏi xác nhận","誤操作防止
Tránh thao tác nhầm",-,,,,,,
,,,,,,,,,,,,,,,,,18.0,"作成
Tạo khuyến mãi","キャンペーンを登録する
Tạo khuyến mãi",ボタン,"入力チェック後API送信 成功時画面遷移
Kiểm tra dữ liệu rồi gọi API Thành công thì chuyển màn","二重送信防止 ローディング表示
Chống gửi 2 lần Hiển thị loading",-,,,,,,
,,,,,,,,,,,,,,,,,19.0,"言語切り替えトグル
Nút chuyển ngôn ngữ","システムの表示言語を変更
Thay đổi ngôn ngữ hiển thị của hệ thống (nằm cạnh Logo)",トグルボタン,"JP / VN
(Tiếng Nhật / Tiếng Việt)","クリック時、選択された言語にシステム全体のテキスト表記を切り替える。状態をローカルストレージに保持する。
Khi click, cập nhật toàn bộ text trên hệ thống theo ngôn ngữ được chọn. Lưu trạng thái này vào Local Storage/Session.","デフォルトは「JP」
Mặc định là ""JP""",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,画面ID,,11.0,,画面タイトル,,"プロフィール画面
(Màn hình Thông tin cá nhân)",,,,,,ロールID,,"1, 2",,画面項目,,,,,,,,,,,,
,画面レイアウト・デザイン,,,,,,,,,,,,,,,,No,項目名称,項目説明,分類,選択肢・入力値,処理内容,備考,,,,,,
,,,,,,,,,,,,,,,,,1.0,"Logo header
ロゴ","ヘッダー部分に表示するシステムロゴ
 Logo hiển thị ở header",画像,-,"
画面初期表示時にロゴを表示。クリック時ホーム画面へ遷移。画像取得失敗時は代替画像表示。                                                            Khi load màn hình hiển thị logo, click về Home, lỗi ảnh → ảnh default
","すべてのデザイン情報：Link
Mọi thông tin Design: Link",,,,,,
,,,,,,,,,,,,,,,,,2.0,"ログアウトリンク
Link Đăng xuất","右端の「ログアウト / Đăng xuất」リンク
Link ""Đăng xuất"" ở góc phải",リンク,-,"クリック時、セッションを破棄しログイン画面へ遷移する。
Khi nhấp vào, hủy session và chuyển ra trang Login.クリック時、セッションを破棄しログイン画面へ遷移する。
Khi nhấp vào, hủy session và chuyển ra trang Login.",-,,,,,,
,,,,,,,,,,,,,,,,,3.0,"プロフィール画像
Ảnh đại diện","ユーザーのプロフィール画像を表示する
Hiển thị ảnh đại diện của người dùng",画像,-,"ユーザーの画像を取得して表示する 取得失敗時はデフォルト画像を表示
Lấy ảnh và hiển thị Nếu lỗi thì hiển thị ảnh mặc định","円形表示
Hiển thị dạng tròn",,,,,,
,,,,,,,,,,,,,,,,,4.0,"ユーザー名
Tên người dùng","ユーザーの表示名を表示する
Hiển thị tên người dùng",テキスト,-,"ログインユーザーの名前を取得して表示する
Lấy tên từ hệ thống và hiển thị",-,,,,,,
,,,,,,,,,,,,,,,,,5.0,"自己紹介
Giới thiệu","ユーザーの紹介文を表示する
Hiển thị phần giới thiệu",テキスト,-,"登録された紹介文を表示する 未設定時は非表示
Hiển thị nội dung Nếu không có thì ẩn",-,,,,,,
,,,,,,,,,,,,,,,,,6.0,"参加日
Ngày tham gia","ユーザーの登録日を表示する
Hiển thị ngày tham gia",テキスト,-,"登録日をフォーマットして表示する
Hiển thị theo format ngày",-,,,,,,
,,,,,,,,,,,,,,,,,7.0,"編集ボタン
Nút chỉnh sửa","プロフィール編集画面へ遷移するボタン
Nút chuyển tới màn chỉnh sửa",ボタン,-,"押下時プロフィール編集画面へ遷移する
Nhấn → chuyển trạng thái edit","ログイン必須
Yêu cầu đăng nhập",,,,,,
,,,,,,,,,,,,,,,,,8.0,"メール
Email","ユーザーのメールアドレスを表示する
Hiển thị email",テキスト,-,"登録されたメールアドレスを表示する
Hiển thị email từ hệ thống","編集不可
Không cho sửa",,,,,,
,,,,,,,,,,,,,,,,,9.0,"電話番号
Số điện thoại","ユーザーの電話番号を表示する
Hiển thị số điện thoại",テキスト,-,"登録された電話番号を表示する
Hiển thị số điện thoại","フォーマット表示
Hiển thị đúng format",,,,,,
,,,,,,,,,,,,,,,,,10.0,"所在地
Địa điểm","ユーザーの所在地を表示する
Hiển thị địa điểm",テキスト,-,"登録された住所情報を表示する
Hiển thị địa chỉ","未設定時非表示
Không có thì ẩn",,,,,,
,,,,,,,,,,,,,,,,,11.0,"レビュー数
Số đánh giá","ユーザーのレビュー件数を表示する
Hiển thị số review",テキスト,-,"レビュー件数を取得して表示する
Hiển thị số lượng review",,,,,,,
,,,,,,,,,,,,,,,,,12.0,"お気に入り数
Số yêu thích","お気に入り登録数を表示する
Hiển thị số yêu thích",テキスト,-,"お気に入り数を表示する
Hiển thị số lượng","リアルタイム更新可能
Có thể update realtime",,,,,,
,,,,,,,,,,,,,,,,,13.0,"いいね数
Số lượt thích","いいね数を表示する
Hiển thị số lượt thích",テキスト,-,"いいね数を取得して表示する
Hiển thị số like","0以上
Luôn >= 0",,,,,,
,,,,,,,,,,,,,,,,,14.0,"お気に入りメニュー
Menu yêu thích","お気に入り一覧へ遷移するメニュー
Menu chuyển tới danh sách yêu thích",ボタン,-,"押下時お気に入り一覧画面へ遷移
Nhấn → chuyển màn danh sách","一覧画面へリンク
Link sang màn list",,,,,,
,,,,,,,,,,,,,,,,,15.0,"キャンペーン通知
Thông báo khuyến mãi","通知一覧画面へ遷移する
Chuyển tới màn thông báo",ボタン,-,"押下時通知一覧へ遷移
Nhấn → chuyển màn thông báo","未読表示あり
Có trạng thái chưa đọc",,,,,,
,,,,,,,,,,,,,,,,,16.0,"プライバシー設定
Cài đặt quyền riêng tư","プライバシー設定画面へ遷移
Chuyển tới màn cài đặt",ボタン,-,"押下時設定画面へ遷移
Nhấn → chuyển màn setting","設定保存必要
Cần lưu setting",,,,,,
,,,,,,,,,,,,,,,,,17.0,"パスワード変更
Đổi mật khẩu","パスワード変更画面へ遷移
Chuyển tới màn đổi mật khẩu",ボタン,-,"押下時変更画面へ遷移
Nhấn → chuyển màn đổi mật khẩu","認証必要
Cần xác thực",,,,,,
,,,,,,,,,,,,,,,,,18.0,"言語切り替えトグル
Nút chuyển ngôn ngữ","システムの表示言語を変更
Thay đổi ngôn ngữ hiển thị của hệ thống (nằm cạnh Logo)",トグルボタン,"JP / VN
(Tiếng Nhật / Tiếng Việt)","クリック時、選択された言語にシステム全体のテキスト表記を切り替える。状態をローカルストレージに保持する。
Khi click, cập nhật toàn bộ text trên hệ thống theo ngôn ngữ được chọn. Lưu trạng thái này vào Local Storage/Session.","デフォルトは「JP」
Mặc định là ""JP""",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,画面ID,,12.0,,画面タイトル,,"店舗情報登録画面
(Màn hình Đăng ký thông tin nhà hàng)",,,,,,ロールID,,2.0,,画面項目,,,,,,,,,,,,
,画面レイアウト・デザイン,,,,,,,,,,,,,,,,No,項目名称,項目説明,分類,選択肢・入力値,処理内容,備考,,,,,,
,,,,,,,,,,,,,,,,,1.0,"Logo header
ロゴ","ヘッダー部分に表示するシステムロゴ
 Logo hiển thị ở header",画像,-,"
画面初期表示時にロゴを表示。クリック時ホーム画面へ遷移。画像取得失敗時は代替画像表示。                                                            Khi load màn hình hiển thị logo, click về Home, lỗi ảnh → ảnh default
","すべてのデザイン情報：Link
Mọi thông tin Design: Link",,,,,,
,,,,,,,,,,,,,,,,,2.0,"ヘッダーナビゲーション
Điều hướng Header","「管理画面」「プロフィール」リンク
Các link đến Admin, Profile",リンク,"選択肢：
・管理画面 / Quản lý
・プロフィール / Hồ sơ","クリック時、対応する各画面へ遷移する。
Khi nhấp vào, chuyển trang tương ứng.","リンクURL：/admin、/profile
URL điều hướng: /admin, /profile",,,,,,
,,,,,,,,,,,,,,,,,3.0,"ログアウトリンク
Link Đăng xuất","右端の「ログアウト / Đăng xuất」リンク
Link ""Đăng xuất"" ở góc phải",リンク,-,"クリック時、セッションを破棄しログイン画面へ遷移する。
Khi nhấp vào, hủy session và chuyển ra trang Login.クリック時、セッションを破棄しログイン画面へ遷移する。
Khi nhấp vào, hủy session và chuyển ra trang Login.",-,,,,,,
,,,,,,,,,,,,,,,,,4.0,"店舗登録
Đăng ký nhà hàng","店舗登録画面のタイトルを表示する項目
Mục hiển thị tiêu đề màn hình đăng ký nhà hàng",テキスト,-,"画面初期表示時にタイトルを表示する
Khi mở màn hình thì hiển thị tiêu đề

備考","固定文言として表示する
Hiển thị dưới dạng nội dung cố định",,,,,,
,,,,,,,,,,,,,,,,,5.0,"画面説明文
Mô tả màn hình","店舗登録画面の案内文を表示する項目
Mục hiển thị câu hướng dẫn của màn hình đăng ký nhà hàng",テキスト,-,"画面初期表示時に案内文を表示する
Khi mở màn hình thì hiển thị câu hướng dẫn

備考",-,,,,,,
,,,,,,,,,,,,,,,,,6.0,"店舗名 日本語
Tên quán tiếng Nhật","店舗名を日本語で入力する項目
Mục nhập tên quán bằng tiếng Nhật",入力,"文字列
Chuỗi ký tự","ユーザーが店舗名を日本語で入力する
入力内容を登録データとして保持する
未入力の場合はエラーとする
Người dùng nhập tên quán bằng tiếng Nhật
Giữ lại nội dung đã nhập để dùng khi đăng ký
Nếu để trống thì báo lỗi","必須項目
最大文字数制限を設定する
Là trường bắt buộc
Cần thiết lập giới hạn ký tự tối đa",,,,,,
,,,,,,,,,,,,,,,,,7.0,"店舗名 ベトナム語
Tên quán tiếng Việt","店舗名をベトナム語で入力する項目
Mục nhập tên quán bằng tiếng Việt",入力,"文字列
Chuỗi ký tự","ユーザーが店舗名を日本語で入力する
入力内容を登録データとして保持する
未入力の場合はエラーとする
Người dùng nhập tên quán bằng tiếng Nhật
Giữ lại nội dung đã nhập để dùng khi đăng ký
Nếu để trống thì báo lỗi","必須項目
最大文字数制限を設定する
Là trường bắt buộc
Cần thiết lập giới hạn ký tự tối đa",,,,,,
,,,,,,,,,,,,,,,,,8.0,"説明 日本語
Mô tả tiếng Nhật","店舗説明を日本語で入力する項目
Mục nhập mô tả quán bằng tiếng Nhật",入力,"文字列
Chuỗi ký tự nhiều dòng","ユーザーが店舗説明を日本語で入力する
改行を含む文章を保持する
未入力可否は要件に従う
Người dùng nhập mô tả quán bằng tiếng Nhật
Giữ nguyên nội dung có xuống dòng
Việc bắt buộc hay không sẽ theo yêu cầu","プレースホルダーを表示する
最大文字数制限を設定する
Hiển thị placeholder
Cần thiết lập giới hạn ký tự tối đa",,,,,,
,,,,,,,,,,,,,,,,,9.0,"説明 日本語
Mô tả tiếng Nhật","店舗説明を日本語で入力する項目
Mục nhập mô tả quán bằng tiếng Nhật",入力,"文字列
Chuỗi ký tự nhiều dòng","ユーザーが店舗説明を日本語で入力する
改行を含む文章を保持する
未入力可否は要件に従う
Người dùng nhập mô tả quán bằng tiếng Nhật
Giữ nguyên nội dung có xuống dòng
Việc bắt buộc hay không sẽ theo yêu cầu","プレースホルダーを表示する
最大文字数制限を設定する
Hiển thị placeholder
Cần thiết lập giới hạn ký tự tối đa",,,,,,
,,,,,,,,,,,,,,,,,10.0,"住所
Địa chỉ","店舗の所在地を入力する項目
Mục nhập địa chỉ của nhà hàng",入力,"文字列
Chuỗi ký tự","ユーザーが住所を入力する
入力値を登録データとして保持する
未入力の場合はエラーとする
Người dùng nhập địa chỉ
Giữ lại nội dung đã nhập để dùng khi đăng ký
Nếu để trống thì báo lỗi","住所検索機能がある場合は別途定義する
Là trường bắt buộc
Nếu có chức năng tìm địa chỉ thì cần định nghĩa riêng",,,,,,
,,,,,,,,,,,,,,,,,11.0,"区
Quận","店舗所在地の区情報を入力する項目
Mục nhập thông tin quận của địa chỉ nhà hàng",入力,"文字列
Chuỗi ký tự","ユーザーが区情報を入力する
入力内容を住所情報の一部として保持する
未入力可否は要件に従う
Người dùng nhập thông tin quận
Giữ lại như một phần của địa chỉ
Việc bắt buộc hay không sẽ theo yêu cầu","住所と分けて管理する場合に利用する
Dùng khi hệ thống quản lý tách riêng quận với địa chỉ",,,,,,
,,,,,,,,,,,,,,,,,12.0,"電話番号
Số điện thoại","店舗の連絡先電話番号を入力する項目
Mục nhập số điện thoại liên hệ của nhà hàng",入力,"数字 文字列
Số hoặc chuỗi ký tự","ユーザーが電話番号を入力する
入力形式をチェックする
未入力または不正形式の場合はエラーとする
Người dùng nhập số điện thoại
Kiểm tra định dạng nhập
Nếu để trống hoặc sai định dạng thì báo lỗi","国番号対応可否は要件確認
Là trường bắt buộc
Cần xác nhận có hỗ trợ mã quốc gia hay không",,,,,,
,,,,,,,,,,,,,,,,,13.0,"メール
Email","店舗の連絡用メールアドレスを入力する項目
Mục nhập email liên hệ của nhà hàng",入力,"メール形式
Định dạng email","ユーザーがメールアドレスを入力する
メール形式をチェックする
不正形式の場合はエラーとする
Người dùng nhập địa chỉ email
Kiểm tra định dạng email
Nếu sai định dạng thì báo lỗi","必須項目
重複登録チェックが必要な場合は実施する
Là trường bắt buộc
Nếu cần kiểm tra trùng lặp thì thực hiện",,,,,,
,,,,,,,,,,,,,,,,,14.0,"営業時間
Giờ mở cửa","店舗の営業時間を入力する項目
Mục nhập giờ mở cửa của nhà hàng",入力,"文字列 時刻形式
Chuỗi ký tự hoặc định dạng thời gian","ユーザーが営業時間を入力する
表示用データとして保持する
入力形式チェックを行う場合は要件に従う
Người dùng nhập giờ mở cửa
Giữ làm dữ liệu hiển thị
Nếu cần kiểm tra định dạng thì theo yêu cầu",-,,,,,,
,,,,,,,,,,,,,,,,,15.0,"価格帯
Mức giá","店舗の価格帯情報を入力する項目
Mục nhập thông tin mức giá của nhà hàng",入力,"文字列 数値
Chuỗi hoặc số","ユーザーが価格帯を入力する
一覧表示や詳細表示用データとして保持する
Người dùng nhập mức giá
Giữ làm dữ liệu để hiển thị ở danh sách hoặc chi tiết","通貨表記ルールを統一する
Cần thống nhất quy tắc hiển thị tiền tệ",,,,,,
,,,,,,,,,,,,,,,,,16.0,"料理カテゴリ
Loại món ăn","店舗の料理ジャンルを入力または選択する項目
Mục nhập hoặc chọn thể loại món ăn của nhà hàng",入力,"文字列
Chuỗi ký tự","ユーザーが料理カテゴリを入力する
登録後は検索条件や表示用ラベルとして利用する
Người dùng nhập loại món ăn
Sau khi đăng ký dùng cho tìm kiếm hoặc hiển thị nhãn",-,,,,,,
,,,,,,,,,,,,,,,,,17.0,"画像アップロード
Tải ảnh lên","店舗画像を登録する項目
Mục đăng ký ảnh của nhà hàng",ファイルアップロード,"画像ファイル
Tệp hình ảnh","ユーザーが画像ファイルを選択する
選択された画像をアップロード対象として保持する
対応形式以外はエラー表示する
Người dùng chọn tệp ảnh
Giữ lại ảnh đã chọn để tải lên khi đăng ký
Nếu không đúng định dạng hỗ trợ thì báo lỗi","対応形式 PNG JPG JPEG
最大ファイルサイズ制限あり
Hỗ trợ PNG JPG JPEG
Có giới hạn dung lượng tối đa",,,,,,
,,,,,,,,,,,,,,,,,18.0,"画像プレビュー領域
Vùng xem trước ảnh","選択した画像を事前に確認するための表示領域
Vùng hiển thị xem trước ảnh đã chọn",画像,-,"画像選択後にプレビューを表示する
画像未選択時は案内文を表示する
Sau khi chọn ảnh thì hiển thị xem trước
Nếu chưa chọn ảnh thì hiển thị hướng dẫn","初期状態ではプレースホルダー表示
Ban đầu hiển thị placeholder",,,,,,
,,,,,,,,,,,,,,,,,19.0,"注意書き
Ghi chú hướng dẫn","画像アップロードや登録時の補足説明を表示する項目
Mục hiển thị ghi chú bổ sung khi tải ảnh và đăng ký",入力,-,"画面上に補足説明を表示する
Khi hiển thị màn hình thì hiện phần ghi chú bổ sung",-,,,,,,
,,,,,,,,,,,,,,,,,20.0,"キャンセル
Hủy","入力内容を破棄して前画面へ戻るボタン
Nút hủy dữ liệu đã nhập và quay lại màn trước",ボタン,-,"押下時に前画面へ戻る
未保存データがある場合は確認ダイアログを表示する
Khi nhấn thì quay lại màn trước
Nếu có dữ liệu chưa lưu thì hiển thị xác nhận

備考",-,,,,,,
,,,,,,,,,,,,,,,,,21.0,"登録
Đăng ký","入力内容をもとに店舗情報を登録するボタン
Nút đăng ký thông tin nhà hàng theo dữ liệu đã nhập

分類",ボタン,-,"押下時に必須項目チェックを行う
入力形式チェックを行う
エラーがない場合は登録処理を実行する
成功時は完了メッセージを表示し次画面へ遷移する
失敗時はエラーメッセージを表示し入力内容を保持する
Khi nhấn thì kiểm tra các trường bắt buộc
Kiểm tra định dạng dữ liệu
Nếu không có lỗi thì thực hiện đăng ký
Nếu thành công thì hiển thị thông báo hoàn tất và chuyển màn hình tiếp theo
Nếu thất bại thì hiển thị lỗi và giữ nguyên dữ liệu đã nhập",-,,,,,,
,,,,,,,,,,,,,,,,,22.0,"言語切り替えトグル
Nút chuyển ngôn ngữ","システムの表示言語を変更
Thay đổi ngôn ngữ hiển thị của hệ thống (nằm cạnh Logo)",トグルボタン,"JP / VN
(Tiếng Nhật / Tiếng Việt)","クリック時、選択された言語にシステム全体のテキスト表記を切り替える。状態をローカルストレージに保持する。
Khi click, cập nhật toàn bộ text trên hệ thống theo ngôn ngữ được chọn. Lưu trạng thái này vào Local Storage/Session.","デフォルトは「JP」
Mặc định là ""JP""",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,画面ID,,13.0,,画面タイトル,,"登録画面
(Màn hình Đăng ký tài khoản)",,,,,,ロールID,,"1, 2, 3",,画面項目,,,,,,,,,,,,
,画面レイアウト・デザイン,,,,,,,,,,,,,,,,No,項目名称,項目説明,分類,選択肢・入力値,処理内容,備考,,,,,,
,,,,,,,,,,,,,,,,,1.0,"Logo header
ロゴ","ヘッダー部分に表示するシステムロゴ
 Logo hiển thị ở header",画像,-,"
画面初期表示時にロゴを表示。クリック時ホーム画面へ遷移。画像取得失敗時は代替画像表示。                                                            Khi load màn hình hiển thị logo, click về Home, lỗi ảnh → ảnh default
","すべてのデザイン情報：Link
Mọi thông tin Design: Link",,,,,,
,,,,,,,,,,,,,,,,,2.0,ログインボタンNút Đăng nhập,"ヘッダー右側の「ログイン / Đăng nhập」リンク
Dòng chữ ""ログイン / Đăng nhập"" ở bên phải header",ボタン,-,"クリック時、「ログイン画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng nhập"".","ログインしていない場合、「ログイン」ボタンを表示する。ログイン後は「プロフィール」に変更され、ユーザーの個人情報画面へ遷移する。
Hiển thị nút ""Đăng nhập"" khi chưa đăng nhập. Sau khi đăng nhập, nút sẽ chuyển thành ""Hồ sơ cá nhân"" và dẫn đến màn hình thông tin cá nhân.",,,,,,
,,,,,,,,,,,,,,,,,3.0,"登録ボタン
Nút Đăng ký","ヘッダー右端の赤い「登録 / Đăng ký」ボタン
Nút màu đỏ ""登録 / Đăng ký"" ở góc phải ngoài cùng header",ボタン,-,"クリック時、「サインアップ画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng ký"".","ログインしていない場合、「登録」ボタンを表示する。ログイン後は「ログアウト」に変更される。
Hiển thị nút ""Đăng ký"" khi chưa đăng nhập. Sau khi đăng nhập, nút sẽ chuyển thành ""Đăng xuất"".",,,,,,
,,,,,,,,,,,,,,,,,4.0,"登録
Đăng ký","アカウント登録画面のタイトルを表示する
Hiển thị tiêu đề màn đăng ký tài khoản",テキスト,-,"画面表示時にタイトルを表示する
Khi load màn hình thì hiển thị tiêu đề",-,,,,,,
,,,,,,,,,,,,,,,,,5.0,"説明文
Mô tả","新規アカウント作成の案内文を表示する
Hiển thị hướng dẫn tạo tài khoản",テキスト,-,"画面表示時に案内文を表示する
Hiển thị khi load màn",-,,,,,,
,,,,,,,,,,,,,,,,,6.0,"ユーザータイプ
Loại người dùng","登録するユーザー種別を選択する
Chọn loại tài khoản

分類",ボタン,"お客様    /   店舗オーナー
Khách hàng    /   Chủ nhà hàng","選択時に対象タイプを設定する
選択中のボタンを強調表示する
Khi chọn sẽ set loại user
Hiển thị trạng thái đang chọn",-,,,,,,
,,,,,,,,,,,,,,,,,7.0,"名前
Tên","ユーザー名を入力する
Nhập tên người dùng",テキストボックス,"文字列
Chuỗi ký tự","入力値を保持する
未入力の場合エラー表示
Giữ giá trị nhập
Nếu trống thì báo lỗi","必須項目
Trường bắt buộc",,,,,,
,,,,,,,,,,,,,,,,,8.0,"メール
Email","ログイン用メールアドレスを入力する
Nhập email dùng để đăng nhập",入力,"メール形式
Định dạng email","ユーザーがメールアドレスを入力する
メール形式をチェックする
不正形式の場合はエラーとする
Người dùng nhập địa chỉ email
Kiểm tra định dạng email
Nếu sai định dạng thì báo lỗi","必須項目
重複登録チェックが必要な場合は実施する
Là trường bắt buộc
Nếu cần kiểm tra trùng lặp thì thực hiện",,,,,,
,,,,,,,,,,,,,,,,,9.0,"電話番号
Số điện thoại","連絡用電話番号を入力する
Nhập số điện thoại liên hệ",入力,"数字 文字列
Số hoặc chuỗi ký tự","ユーザーが電話番号を入力する
入力形式をチェックする
未入力または不正形式の場合はエラーとする
Người dùng nhập số điện thoại
Kiểm tra định dạng nhập
Nếu để trống hoặc sai định dạng thì báo lỗi","任意項目または必須は要件次第
Có thể bắt buộc tùy yêu cầu",,,,,,
,,,,,,,,,,,,,,,,,10.0,"パスワード
Mật khẩu","ログイン用パスワードを入力する
Nhập mật khẩu",入力,"文字列
Chuỗi ký tự","入力値を非表示で保持する
条件チェックを行う
Giữ dạng ẩn
Kiểm tra điều kiện","最小文字数制限あり
Có giới hạn tối thiểu",,,,,,
,,,,,,,,,,,,,,,,,11.0,"パスワード確認
Xác nhận mật khẩu","パスワード再入力
Nhập lại mật khẩu",入力,"文字列
Chuỗi ký tự","パスワードと一致するかチェック
一致しない場合エラー表示
Kiểm tra trùng với mật khẩu
Không trùng thì báo lỗi","必須項目
Bắt buộc",,,,,,
